Histogram (GPU):
59.423828 0 
59.521484 0 
59.619141 0 
59.716797 0 
59.814453 0 
59.912109 0 
60.009766 0 
60.107422 0 
60.205078 0 
60.302734 0 
60.400391 0 
60.498047 0 
60.595703 0 
60.693359 0 
60.791016 0 
60.888672 0 
60.986328 0 
61.083984 0 
61.181641 0 
61.279297 0 
61.376953 0 
61.474609 0 
61.572266 0 
61.669922 0 
61.767578 0 
61.865234 0 
61.962891 0 
62.060547 0 
62.158203 0 
62.255859 0 
62.353516 0 
62.451172 0 
62.548828 0 
62.646484 0 
62.744141 0 
62.841797 0 
62.939453 0 
63.037109 0 
63.134766 0 
63.232422 0 
63.330078 0 
63.427734 0 
63.525391 0 
63.623047 0 
63.720703 0 
63.818359 0 
63.916016 0 
64.013672 0 
64.111328 0 
64.208984 0 
64.306641 0 
64.404297 0 
64.501953 0 
64.599609 0 
64.697266 0 
64.794922 0 
64.892578 0 
64.990234 0 
65.087891 0 
65.185547 0 
65.283203 0 
65.380859 0 
65.478516 0 
65.576172 0 
65.673828 0 
65.771484 0 
65.869141 0 
65.966797 0 
66.064453 0 
66.162109 0 
66.259766 0 
66.357422 0 
66.455078 0 
66.552734 0 
66.650391 0 
66.748047 0 
66.845703 0 
66.943359 0 
67.041016 0 
67.138672 0 
67.236328 0 
67.333984 0 
67.431641 0 
67.529297 0 
67.626953 0 
67.724609 0 
67.822266 0 
67.919922 0 
68.017578 0 
68.115234 0 
68.212891 0 
68.310547 0 
68.408203 0 
68.505859 0 
68.603516 0 
68.701172 0 
68.798828 0 
68.896484 0 
68.994141 0 
69.091797 0 
69.189453 0 
69.287109 0 
69.384766 0 
69.482422 0 
69.580078 0 
69.677734 0 
69.775391 0 
69.873047 0 
69.970703 0 
70.068359 0 
70.166016 0 
70.263672 0 
70.361328 0 
70.458984 0 
70.556641 0 
70.654297 0 
70.751953 0 
70.849609 0 
70.947266 0 
71.044922 0 
71.142578 0 
71.240234 0 
71.337891 0 
71.435547 0 
71.533203 0 
71.630859 0 
71.728516 0 
71.826172 0 
71.923828 0 
72.021484 0 
72.119141 0 
72.216797 0 
72.314453 0 
72.412109 0 
72.509766 0 
72.607422 0 
72.705078 0 
72.802734 0 
72.900391 0 
72.998047 0 
73.095703 0 
73.193359 0 
73.291016 0 
73.388672 0 
73.486328 0 
73.583984 0 
73.681641 0 
73.779297 0 
73.876953 0 
73.974609 0 
74.072266 0 
74.169922 0 
74.267578 0 
74.365234 0 
74.462891 0 
74.560547 0 
74.658203 0 
74.755859 0 
74.853516 0 
74.951172 0 
75.048828 0 
75.146484 0 
75.244141 0 
75.341797 0 
75.439453 0 
75.537109 0 
75.634766 0 
75.732422 0 
75.830078 0 
75.927734 0 
76.025391 0 
76.123047 0 
76.220703 0 
76.318359 0 
76.416016 0 
76.513672 0 
76.611328 0 
76.708984 0 
76.806641 0 
76.904297 0 
77.001953 0 
77.099609 0 
77.197266 0 
77.294922 0 
77.392578 0 
77.490234 0 
77.587891 0 
77.685547 0 
77.783203 0 
77.880859 0 
77.978516 0 
78.076172 0 
78.173828 0 
78.271484 0 
78.369141 0 
78.466797 0 
78.564453 0 
78.662109 0 
78.759766 0 
78.857422 0 
78.955078 0 
79.052734 0 
79.150391 0 
79.248047 0 
79.345703 0 
79.443359 0 
79.541016 0 
79.638672 0 
79.736328 0 
79.833984 0 
79.931641 0 
80.029297 0 
80.126953 0 
80.224609 0 
80.322266 0 
80.419922 0 
80.517578 0 
80.615234 0 
80.712891 0 
80.810547 0 
80.908203 0 
81.005859 0 
81.103516 0 
81.201172 0 
81.298828 0 
81.396484 0 
81.494141 0 
81.591797 0 
81.689453 0 
81.787109 0 
81.884766 0 
81.982422 0 
82.080078 0 
82.177734 0 
82.275391 0 
82.373047 0 
82.470703 0 
82.568359 0 
82.666016 0 
82.763672 0 
82.861328 0 
82.958984 0 
83.056641 0 
83.154297 0 
83.251953 0 
83.349609 0 
83.447266 0 
83.544922 0 
83.642578 0 
83.740234 0 
83.837891 0 
83.935547 0 
84.033203 0 
84.130859 0 
84.228516 0 
84.326172 0 
84.423828 0 
84.521484 0 
84.619141 0 
84.716797 0 
84.814453 0 
84.912109 0 
85.009766 0 
85.107422 0 
85.205078 0 
85.302734 0 
85.400391 0 
85.498047 0 
85.595703 0 
85.693359 0 
85.791016 0 
85.888672 0 
85.986328 0 
86.083984 0 
86.181641 0 
86.279297 0 
86.376953 0 
86.474609 0 
86.572266 0 
86.669922 0 
86.767578 0 
86.865234 0 
86.962891 0 
87.060547 0 
87.158203 0 
87.255859 0 
87.353516 0 
87.451172 0 
87.548828 0 
87.646484 0 
87.744141 0 
87.841797 0 
87.939453 0 
88.037109 0 
88.134766 0 
88.232422 0 
88.330078 0 
88.427734 0 
88.525391 0 
88.623047 0 
88.720703 0 
88.818359 0 
88.916016 0 
89.013672 0 
89.111328 0 
89.208984 0 
89.306641 0 
89.404297 0 
89.501953 0 
89.599609 0 
89.697266 0 
89.794922 0 
89.892578 0 
89.990234 0 
90.087891 0 
90.185547 0 
90.283203 0 
90.380859 0 
90.478516 0 
90.576172 0 
90.673828 0 
90.771484 0 
90.869141 0 
90.966797 0 
91.064453 0 
91.162109 0 
91.259766 0 
91.357422 0 
91.455078 0 
91.552734 0 
91.650391 0 
91.748047 0 
91.845703 0 
91.943359 0 
92.041016 0 
92.138672 0 
92.236328 0 
92.333984 0 
92.431641 0 
92.529297 0 
92.626953 0 
92.724609 0 
92.822266 0 
92.919922 0 
93.017578 0 
93.115234 0 
93.212891 0 
93.310547 0 
93.408203 0 
93.505859 0 
93.603516 0 
93.701172 0 
93.798828 0 
93.896484 0 
93.994141 0 
94.091797 0 
94.189453 0 
94.287109 0 
94.384766 0 
94.482422 0 
94.580078 0 
94.677734 0 
94.775391 0 
94.873047 0 
94.970703 0 
95.068359 0 
95.166016 0 
95.263672 0 
95.361328 0 
95.458984 0 
95.556641 0 
95.654297 0 
95.751953 0 
95.849609 0 
95.947266 0 
96.044922 0 
96.142578 0 
96.240234 0 
96.337891 0 
96.435547 0 
96.533203 0 
96.630859 0 
96.728516 0 
96.826172 0 
96.923828 0 
97.021484 0 
97.119141 0 
97.216797 0 
97.314453 0 
97.412109 0 
97.509766 0 
97.607422 0 
97.705078 0 
97.802734 0 
97.900391 0 
97.998047 0 
98.095703 0 
98.193359 0 
98.291016 0 
98.388672 0 
98.486328 0 
98.583984 0 
98.681641 0 
98.779297 0 
98.876953 0 
98.974609 0 
99.072266 0 
99.169922 0 
99.267578 0 
99.365234 0 
99.462891 0 
99.560547 0 
99.658203 0 
99.755859 0 
99.853516 0 
99.951172 0 
